
19-04-2022 00:27:59 	dea89aa7-29c0-4e53-abb9-3301a0686fff	/	 GET
19-04-2022 00:28:00 	06fb1079-a244-4836-a9f8-f83deda02c9f	/img/welcome.png	 GET
20-04-2022 23:00:11 	29d47a14-f4c4-4172-bb04-b4eb5044e754	GET	/new-page
20-04-2022 23:00:11 	9ce4fe57-56e9-4757-ba77-009298178a3d	GET	/css/style.css
20-04-2022 23:04:16 	4c93a1e4-0592-412a-aec6-eb35de4bc5f9	GET	/new-page
20-04-2022 23:04:16 	df66b305-d6c1-4c18-afec-d2563f73b589	GET	/css/style.css
20-04-2022 23:04:25 	b2455777-3219-4bb4-bffc-655f684ee65f	GET	/new-page.html
20-04-2022 23:04:26 	67de2512-0cbe-4123-8565-8cc4fb17b419	GET	/css/style.css
20-04-2022 23:07:12 	89280c0f-93fc-40c9-9e01-c06fbc3b120e	GET	undefined	/new-page.html
20-04-2022 23:07:12 	7dcea778-153f-4e0f-ac35-2cf7647e4050	GET	undefined	/css/style.css
20-04-2022 23:07:18 	83ca1f40-99f4-4b80-96d8-8d61da898132	GET	undefined	/new-page.html
20-04-2022 23:07:18 	4e1a0300-6388-4949-922e-d58682380f9f	GET	undefined	/css/style.css
20-04-2022 23:12:06 	5552b30c-4d0e-4898-a020-f47007614262	GET	undefined	/new-page.html
20-04-2022 23:12:07 	d38a2cf5-7a2b-4cf5-ba3b-b56a3169c3f2	GET	undefined	/css/style.css
20-04-2022 23:12:14 	a6049357-d734-48af-b462-b5d84d8b6787	GET	undefined	/new-page.html
20-04-2022 23:12:14 	d175655d-fada-4f45-a657-dc85c351d2b5	GET	undefined	/css/style.css
21-04-2022 16:12:07 	27b0e7eb-bac7-4414-819f-6ca4c99a6d99	GET	undefined	/new-page.html
21-04-2022 16:12:07 	ed831170-9c60-4a10-a72d-6f9b2527e0d7	GET	undefined	/css/style.css
21-04-2022 16:21:28 	3d2d5996-dcb3-4cea-ba2c-75c4425425f3	GET	undefined	/
21-04-2022 16:21:29 	70b06f4c-3d56-4c88-80c9-eb2c7dc10b44	GET	undefined	/css/style.css
